salesordernumber,orderdate,year,quarter,month,product,category,subcategory,color,standardcost,region,country,reseller,businesstype,salesperson,quantity,unitprice,sales,totalcost,profit
SO48761,2019-01-18,2019,1,1,"ML Road Frame-W - Yellow, 48",Components,Road Frames,Yellow,300.12,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,324.45,324.45,300.12,24.33
SO48761,2019-01-18,2019,1,1,"LL Road Frame - Red, 62",Components,Road Frames,Red,187.16,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,202.33,202.33,187.16,15.17
SO48761,2019-01-18,2019,1,1,"Men's Sports Shorts, S",Clothing,Shorts,Black,24.75,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,35.99,35.99,24.75,11.24
SO48761,2019-01-18,2019,1,1,"Road-550-W Yellow, 38",Bikes,Road Bikes,Yellow,605.65,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,600.26,600.26,605.65,-5.39
SO48761,2019-01-18,2019,1,1,"Road-250 Black, 44",Bikes,Road Bikes,Black,1320.68,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,1308.94,1308.94,1320.68,-11.74
SO48761,2019-01-18,2019,1,1,"Road-250 Black, 48",Bikes,Road Bikes,Black,1320.68,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,1308.94,1308.94,1320.68,-11.74
SO49827,2019-04-03,2019,2,4,"LL Road Frame - Black, 58",Components,Road Frames,Black,170.14,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,183.94,183.94,170.14,13.80
SO49827,2019-04-03,2019,2,4,LL Road Rear Wheel,Components,Wheels,Black,49.98,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,67.54,67.54,49.98,17.56
SO49827,2019-04-03,2019,2,4,HL Road Front Wheel,Components,Wheels,Black,146.55,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,198.04,198.04,146.55,51.49
SO49827,2019-04-03,2019,2,4,"Road-250 Black, 52",Bikes,Road Bikes,Black,1320.68,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,1308.94,1308.94,1320.68,-11.74
SO49827,2019-04-03,2019,2,4,"Road-550-W Yellow, 40",Bikes,Road Bikes,Yellow,605.65,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,600.26,600.26,605.65,-5.39
SO51092,2019-07-04,2019,3,7,"LL Road Frame - Black, 44",Components,Road Frames,Black,204.63,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,202.33,202.33,204.63,-2.30
SO51092,2019-07-04,2019,3,7,"HL Road Frame - Black, 48",Components,Road Frames,Black,868.63,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,858.90,858.90,868.63,-9.73
SO51092,2019-07-04,2019,3,7,"Racing Socks, M",Clothing,Socks,White,3.36,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,5.39,5.39,3.36,2.03
SO51092,2019-07-04,2019,3,7,HL Road Handlebars,Components,Handlebars,NA,53.40,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,72.16,72.16,53.40,18.76
SO51092,2019-07-04,2019,3,7,"HL Road Frame - Red, 62",Components,Road Frames,Red,868.63,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,858.90,858.90,868.63,-9.73
SO51092,2019-07-04,2019,3,7,LL Road Handlebars,Components,Handlebars,NA,19.78,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,26.72,26.72,19.78,6.94
SO51092,2019-07-04,2019,3,7,"Road-250 Black, 48",Bikes,Road Bikes,Black,1554.95,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,1466.01,1466.01,1554.95,-88.94
SO51092,2019-07-04,2019,3,7,"Road-250 Black, 52",Bikes,Road Bikes,Black,1554.95,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,1466.01,1466.01,1554.95,-88.94
SO55243,2019-10-04,2019,4,10,"Half-Finger Gloves, L",Clothing,Gloves,Black,9.16,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,14.69,14.69,9.16,5.53
SO55243,2019-10-04,2019,4,10,"HL Road Frame - Black, 44",Components,Road Frames,Black,868.63,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,858.90,858.90,868.63,-9.73
SO55243,2019-10-04,2019,4,10,"LL Road Frame - Black, 52",Components,Road Frames,Black,204.63,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,202.33,202.33,204.63,-2.30
SO55243,2019-10-04,2019,4,10,HL Road Pedal,Components,Pedals,Silver/Black,35.96,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,48.59,48.59,35.96,12.63
SO55243,2019-10-04,2019,4,10,"Road-750 Black, 58",Bikes,Road Bikes,Black,343.65,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,323.99,323.99,343.65,-19.66
SO55243,2019-10-04,2019,4,10,LL Road Pedal,Components,Pedals,Silver/Black,17.98,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,24.29,24.29,17.98,6.31
SO55243,2019-10-04,2019,4,10,"Road-550-W Yellow, 48",Bikes,Road Bikes,Yellow,713.08,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,672.29,672.29,713.08,-40.79
SO55243,2019-10-04,2019,4,10,HL Road Handlebars,Components,Handlebars,NA,53.40,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,72.16,72.16,53.40,18.76
SO55243,2019-10-04,2019,4,10,"HL Road Frame - Red, 62",Components,Road Frames,Red,868.63,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,858.90,858.90,868.63,-9.73
SO55243,2019-10-04,2019,4,10,"LL Road Frame - Black, 58",Components,Road Frames,Black,204.63,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,202.33,202.33,204.63,-2.30
SO55243,2019-10-04,2019,4,10,"Racing Socks, M",Clothing,Socks,White,3.36,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,5.39,5.39,3.36,2.03
SO55243,2019-10-04,2019,4,10,"Road-250 Black, 48",Bikes,Road Bikes,Black,1554.95,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,1466.01,1466.01,1554.95,-88.94
SO61204,2020-01-12,2020,1,1,ML Road Pedal,Components,Pedals,Silver/Black,27.57,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,37.25,37.25,27.57,9.68
SO61204,2020-01-12,2020,1,1,"ML Road Frame-W - Yellow, 48",Components,Road Frames,Yellow,360.94,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,356.90,356.90,360.94,-4.04
SO61204,2020-01-12,2020,1,1,"Road-350-W Yellow, 42",Bikes,Road Bikes,Yellow,1082.51,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,1020.59,1020.59,1082.51,-61.92
SO61204,2020-01-12,2020,1,1,"ML Road Frame-W - Yellow, 38",Components,Road Frames,Yellow,360.94,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,356.90,356.90,360.94,-4.04
SO61204,2020-01-12,2020,1,1,"Road-250 Black, 44",Bikes,Road Bikes,Black,1554.95,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,1466.01,1466.01,1554.95,-88.94
SO61204,2020-01-12,2020,1,1,"Road-550-W Yellow, 38",Bikes,Road Bikes,Yellow,713.08,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,672.29,672.29,713.08,-40.79
SO61204,2020-01-12,2020,1,1,LL Road Pedal,Components,Pedals,Silver/Black,17.98,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,24.29,24.29,17.98,6.31
SO61204,2020-01-12,2020,1,1,"LL Road Frame - Black, 52",Components,Road Frames,Black,204.63,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,202.33,202.33,204.63,-2.30
SO67268,2020-04-06,2020,2,4,"Road-550-W Yellow, 48",Bikes,Road Bikes,Yellow,713.08,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,672.29,672.29,713.08,-40.79
SO67268,2020-04-06,2020,2,4,"ML Road Frame-W - Yellow, 48",Components,Road Frames,Yellow,360.94,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,356.90,356.90,360.94,-4.04
SO67268,2020-04-06,2020,2,4,"Half-Finger Gloves, M",Clothing,Gloves,Black,9.16,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,14.69,14.69,9.16,5.53
SO67268,2020-04-06,2020,2,4,ML Road Pedal,Components,Pedals,Silver/Black,27.57,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,37.25,37.25,27.57,9.68
SO67268,2020-04-06,2020,2,4,"Road-250 Black, 44",Bikes,Road Bikes,Black,1554.95,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,1466.01,1466.01,1554.95,-88.94
SO67268,2020-04-06,2020,2,4,HL Road Handlebars,Components,Handlebars,NA,53.40,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,72.16,72.16,53.40,18.76
SO67268,2020-04-06,2020,2,4,"HL Road Frame - Red, 62",Components,Road Frames,Red,868.63,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,858.90,858.90,868.63,-9.73
SO67268,2020-04-06,2020,2,4,"HL Road Frame - Black, 44",Components,Road Frames,Black,868.63,Canada,Canada,Citywide Service and Repair,Warehouse,Jae Pak,1,858.90,858.90,868.63,-9.73
SO46608,2018-07-03,2018,3,7,"Full-Finger Gloves, S",Clothing,Gloves,Black,15.67,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,22.79,22.79,15.67,7.12
SO46608,2018-07-03,2018,3,7,"HL Mountain Frame - Silver, 42",Components,Mountain Frames,Silver,660.91,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,744.27,744.27,660.91,83.36
SO46608,2018-07-03,2018,3,7,ML Mountain Front Wheel,Components,Wheels,Black,92.81,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,125.42,125.42,92.81,32.61
SO46608,2018-07-03,2018,3,7,LL Fork,Components,Forks,NA,65.81,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,88.93,88.93,65.81,23.12
SO46608,2018-07-03,2018,3,7,LL Headset,Components,Headsets,NA,15.18,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,20.52,20.52,15.18,5.34
SO46608,2018-07-03,2018,3,7,HL Mountain Front Wheel,Components,Wheels,Black,133.30,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,180.13,180.13,133.30,46.83
SO47662,2018-10-02,2018,4,10,"Mountain-300 Black, 40",Bikes,Mountain Bikes,Black,598.44,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,647.99,647.99,598.44,49.55
SO47662,2018-10-02,2018,4,10,"HL Mountain Frame - Silver, 46",Components,Mountain Frames,Silver,660.91,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,744.27,744.27,660.91,83.36
SO47662,2018-10-02,2018,4,10,"Mountain-300 Black, 38",Bikes,Mountain Bikes,Black,598.44,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,647.99,647.99,598.44,49.55
SO47662,2018-10-02,2018,4,10,ML Mountain Handlebars,Components,Handlebars,NA,24.99,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,33.77,33.77,24.99,8.78
SO47662,2018-10-02,2018,4,10,"Sport-100 Helmet, Red",Accessories,Helmets,Red,13.88,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,20.19,20.19,13.88,6.31
SO47662,2018-10-02,2018,4,10,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,Silver,660.91,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,744.27,744.27,660.91,83.36
SO48754,2019-01-14,2019,1,1,"Mountain-200 Black, 38",Bikes,Mountain Bikes,Black,1105.81,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,1229.46,1229.46,1105.81,123.65
SO48754,2019-01-14,2019,1,1,"Mountain-200 Silver, 38",Bikes,Mountain Bikes,Silver,1117.86,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,1242.85,1242.85,1117.86,124.99
SO48754,2019-01-14,2019,1,1,"HL Mountain Frame - Silver, 46",Components,Mountain Frames,Silver,660.91,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,744.27,744.27,660.91,83.36
SO48754,2019-01-14,2019,1,1,LL Mountain Handlebars,Components,Handlebars,NA,17.98,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,24.29,24.29,17.98,6.31
SO48754,2019-01-14,2019,1,1,"ML Mountain Frame - Black, 44",Components,Mountain Frames,Black,185.82,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,209.26,209.26,185.82,23.44
SO48754,2019-01-14,2019,1,1,"Full-Finger Gloves, M",Clothing,Gloves,Black,15.67,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,22.79,22.79,15.67,7.12
SO48754,2019-01-14,2019,1,1,"Long-Sleeve Logo Jersey, M",Clothing,Jerseys,Multi,29.08,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,28.84,28.84,29.08,-0.24
SO48754,2019-01-14,2019,1,1,"Half-Finger Gloves, S",Clothing,Gloves,Black,9.71,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,14.13,14.13,9.71,4.42
SO48754,2019-01-14,2019,1,1,"Mountain-300 Black, 40",Bikes,Mountain Bikes,Black,598.44,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,647.99,647.99,598.44,49.55
SO48754,2019-01-14,2019,1,1,"HL Mountain Frame - Black, 42",Components,Mountain Frames,Black,653.70,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,736.15,736.15,653.70,82.45
SO49855,2019-04-14,2019,2,4,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,Multi,29.08,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,28.84,28.84,29.08,-0.24
SO49855,2019-04-14,2019,2,4,"Mountain-300 Black, 38",Bikes,Mountain Bikes,Black,598.44,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,647.99,647.99,598.44,49.55
SO49855,2019-04-14,2019,2,4,HL Headset,Components,Headsets,NA,55.38,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,74.84,74.84,55.38,19.46
SO49855,2019-04-14,2019,2,4,Cable Lock,Accessories,Locks,NA,10.31,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,15.00,15.00,10.31,4.69
SO49855,2019-04-14,2019,2,4,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,Silver,660.91,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,744.27,744.27,660.91,83.36
SO49855,2019-04-14,2019,2,4,LL Mountain Handlebars,Components,Handlebars,NA,17.98,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,24.29,24.29,17.98,6.31
SO49855,2019-04-14,2019,2,4,"Mountain-200 Black, 46",Bikes,Mountain Bikes,Black,1105.81,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,1229.46,1229.46,1105.81,123.65
SO49855,2019-04-14,2019,2,4,"HL Mountain Frame - Silver, 42",Components,Mountain Frames,Silver,660.91,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,744.27,744.27,660.91,83.36
SO49855,2019-04-14,2019,2,4,"Long-Sleeve Logo Jersey, M",Clothing,Jerseys,Multi,29.08,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,28.84,28.84,29.08,-0.24
SO51130,2019-07-17,2019,3,7,Rear Brakes,Components,Brakes,Silver,47.29,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,63.90,63.90,47.29,16.61
SO51130,2019-07-17,2019,3,7,"HL Mountain Frame - Black, 38",Components,Mountain Frames,Black,739.04,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,809.76,809.76,739.04,70.72
SO51130,2019-07-17,2019,3,7,ML Mountain Pedal,Components,Pedals,Silver/Black,27.57,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,37.25,37.25,27.57,9.68
SO51130,2019-07-17,2019,3,7,ML Crankset,Components,Cranksets,Black,113.88,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,153.89,153.89,113.88,40.01
SO51130,2019-07-17,2019,3,7,LL Crankset,Components,Cranksets,Black,77.92,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,105.29,105.29,77.92,27.37
SO51130,2019-07-17,2019,3,7,"HL Mountain Frame - Silver, 42",Components,Mountain Frames,Silver,747.20,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,818.70,818.70,747.20,71.50
SO51130,2019-07-17,2019,3,7,"LL Mountain Frame - Silver, 42",Components,Mountain Frames,Silver,144.59,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,158.43,158.43,144.59,13.84
SO51130,2019-07-17,2019,3,7,"Mountain-500 Black, 44",Bikes,Mountain Bikes,Black,294.58,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,323.99,323.99,294.58,29.41
SO55283,2019-10-16,2019,4,10,"Mountain-500 Silver, 42",Bikes,Mountain Bikes,Silver,308.22,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,338.99,338.99,308.22,30.77
SO55283,2019-10-16,2019,4,10,"Mountain-200 Silver, 46",Bikes,Mountain Bikes,Silver,1265.62,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,1391.99,1391.99,1265.62,126.37
SO55283,2019-10-16,2019,4,10,HL Mountain Seat/Saddle,Components,Saddles,NA,23.37,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,31.58,31.58,23.37,8.21
SO55283,2019-10-16,2019,4,10,HL Crankset,Components,Cranksets,Black,179.82,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,242.99,242.99,179.82,63.17
SO55283,2019-10-16,2019,4,10,LL Bottom Bracket,Components,Bottom Brackets,NA,23.97,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,32.39,32.39,23.97,8.42
SO55283,2019-10-16,2019,4,10,LL Mountain Seat/Saddle,Components,Saddles,NA,12.04,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,16.27,16.27,12.04,4.23
SO55283,2019-10-16,2019,4,10,"LL Mountain Frame - Silver, 42",Components,Mountain Frames,Silver,144.59,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,158.43,158.43,144.59,13.84
SO61177,2020-01-02,2020,1,1,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,Silver,747.20,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,818.70,818.70,747.20,71.50
SO61177,2020-01-02,2020,1,1,"LL Mountain Frame - Silver, 52",Components,Mountain Frames,Silver,144.59,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,158.43,158.43,144.59,13.84
SO61177,2020-01-02,2020,1,1,"Mountain-200 Black, 38",Bikes,Mountain Bikes,Black,1251.98,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,1376.99,1376.99,1251.98,125.01
SO61177,2020-01-02,2020,1,1,"LL Mountain Frame - Silver, 42",Components,Mountain Frames,Silver,144.59,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,158.43,158.43,144.59,13.84
SO61177,2020-01-02,2020,1,1,"Mountain-200 Silver, 42",Bikes,Mountain Bikes,Silver,1265.62,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,1391.99,1391.99,1265.62,126.37
SO61177,2020-01-02,2020,1,1,HL Mountain Seat/Saddle,Components,Saddles,NA,23.37,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,31.58,31.58,23.37,8.21
SO61177,2020-01-02,2020,1,1,"Mountain-200 Silver, 38",Bikes,Mountain Bikes,Silver,1265.62,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,1391.99,1391.99,1265.62,126.37
SO61177,2020-01-02,2020,1,1,Front Brakes,Components,Brakes,Silver,47.29,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,63.90,63.90,47.29,16.61
SO61177,2020-01-02,2020,1,1,HL Crankset,Components,Cranksets,Black,179.82,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,242.99,242.99,179.82,63.17
SO67302,2020-04-16,2020,2,4,"Mountain-500 Silver, 44",Bikes,Mountain Bikes,Silver,308.22,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,338.99,338.99,308.22,30.77
SO67302,2020-04-16,2020,2,4,"Mountain-400-W Silver, 40",Bikes,Mountain Bikes,Silver,419.78,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,461.69,461.69,419.78,41.91
SO67302,2020-04-16,2020,2,4,"Mountain-200 Black, 46",Bikes,Mountain Bikes,Black,1251.98,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,1376.99,1376.99,1251.98,125.01
SO67302,2020-04-16,2020,2,4,HL Crankset,Components,Cranksets,Black,179.82,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,242.99,242.99,179.82,63.17
SO67302,2020-04-16,2020,2,4,Front Brakes,Components,Brakes,Silver,47.29,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,63.90,63.90,47.29,16.61
SO67302,2020-04-16,2020,2,4,"ML Mountain Frame-W - Silver, 42",Components,Mountain Frames,Silver,199.38,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,218.45,218.45,199.38,19.07
SO67302,2020-04-16,2020,2,4,Chain,Components,Chains,Silver,8.99,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,12.14,12.14,8.99,3.15
SO67302,2020-04-16,2020,2,4,"Mountain-200 Silver, 46",Bikes,Mountain Bikes,Silver,1265.62,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,1391.99,1391.99,1265.62,126.37
SO67302,2020-04-16,2020,2,4,LL Bottom Bracket,Components,Bottom Brackets,NA,23.97,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,32.39,32.39,23.97,8.42
SO67302,2020-04-16,2020,2,4,ML Mountain Handlebars,Components,Handlebars,NA,27.49,Canada,Canada,Original Bicycle Supply Company,Warehouse,Jae Pak,1,37.15,37.15,27.49,9.66
SO46607,2018-07-02,2018,3,7,"HL Road Frame - Red, 48",Components,Road Frames,Red,722.26,Canada,Canada,"Health Spa, Limited",Warehouse,Jae Pak,1,780.82,780.82,722.26,58.56
SO46616,2018-07-06,2018,3,7,"Women's Tights, M",Clothing,Tights,Black,30.93,Canada,Canada,Retail Mall,Warehouse,Jae Pak,1,44.99,44.99,30.93,14.06
SO46616,2018-07-06,2018,3,7,"LL Road Frame - Red, 62",Components,Road Frames,Red,187.16,Canada,Canada,Retail Mall,Warehouse,Jae Pak,1,202.33,202.33,187.16,15.17
SO46616,2018-07-06,2018,3,7,"Men's Bib-Shorts, L",Clothing,Bib-Shorts,Multi,37.12,Canada,Canada,Retail Mall,Warehouse,Jae Pak,1,53.99,53.99,37.12,16.87
SO46616,2018-07-06,2018,3,7,"ML Road Frame-W - Yellow, 40",Components,Road Frames,Yellow,300.12,Canada,Canada,Retail Mall,Warehouse,Jae Pak,1,324.45,324.45,300.12,24.33
SO46622,2018-07-08,2018,3,7,HL Mountain Front Wheel,Components,Wheels,Black,133.30,Canada,Canada,Red Bicycle Company,Value Added Reseller,Jae Pak,1,180.13,180.13,133.30,46.83
SO46622,2018-07-08,2018,3,7,"Mountain-200 Black, 42",Bikes,Mountain Bikes,Black,1105.81,Canada,Canada,Red Bicycle Company,Value Added Reseller,Jae Pak,1,1229.46,1229.46,1105.81,123.65
SO46622,2018-07-08,2018,3,7,"ML Mountain Frame - Black, 44",Components,Mountain Frames,Black,185.82,Canada,Canada,Red Bicycle Company,Value Added Reseller,Jae Pak,1,209.26,209.26,185.82,23.44
SO46622,2018-07-08,2018,3,7,"Full-Finger Gloves, S",Clothing,Gloves,Black,15.67,Canada,Canada,Red Bicycle Company,Value Added Reseller,Jae Pak,1,22.79,22.79,15.67,7.12
SO46645,2018-07-17,2018,3,7,LL Headset,Components,Headsets,NA,15.18,Canada,Canada,Leather Seat Factory,Warehouse,Jae Pak,1,20.52,20.52,15.18,5.34
SO46657,2018-07-21,2018,3,7,"ML Mountain Frame - Black, 40",Components,Mountain Frames,Black,185.82,Canada,Canada,Top Sports Supply,Warehouse,Jae Pak,1,209.26,209.26,185.82,23.44
SO46657,2018-07-21,2018,3,7,HL Mountain Handlebars,Components,Handlebars,NA,48.55,Canada,Canada,Top Sports Supply,Warehouse,Jae Pak,1,65.60,65.60,48.55,17.05
SO46657,2018-07-21,2018,3,7,LL Mountain Rear Wheel,Components,Wheels,Black,38.96,Canada,Canada,Top Sports Supply,Warehouse,Jae Pak,1,52.65,52.65,38.96,13.69
SO46658,2018-07-21,2018,3,7,HL Mountain Rear Wheel,Components,Wheels,Black,145.28,Canada,Canada,Bikes for Kids and Adults,Specialty Bike Shop,Jae Pak,1,196.33,196.33,145.28,51.05
SO46658,2018-07-21,2018,3,7,"Mountain-200 Silver, 46",Bikes,Mountain Bikes,Silver,1117.86,Canada,Canada,Bikes for Kids and Adults,Specialty Bike Shop,Jae Pak,1,1242.85,1242.85,1117.86,124.99
SO46658,2018-07-21,2018,3,7,LL Mountain Front Wheel,Components,Wheels,Black,26.97,Canada,Canada,Bikes for Kids and Adults,Specialty Bike Shop,Jae Pak,1,36.45,36.45,26.97,9.48
SO46930,2018-08-01,2018,3,8,LL Mountain Rear Wheel,Components,Wheels,Black,38.96,Canada,Canada,Metro Manufacturing,Specialty Bike Shop,Jae Pak,1,52.65,52.65,38.96,13.69
SO46930,2018-08-01,2018,3,8,LL Mountain Front Wheel,Components,Wheels,Black,26.97,Canada,Canada,Metro Manufacturing,Specialty Bike Shop,Jae Pak,1,36.45,36.45,26.97,9.48
SO46930,2018-08-01,2018,3,8,ML Mountain Handlebars,Components,Handlebars,NA,24.99,Canada,Canada,Metro Manufacturing,Specialty Bike Shop,Jae Pak,1,33.77,33.77,24.99,8.78
SO46932,2018-08-01,2018,3,8,LL Mountain Front Wheel,Components,Wheels,Black,26.97,Canada,Canada,Two-Wheeled Transit Company,Specialty Bike Shop,Jae Pak,1,36.45,36.45,26.97,9.48
SO46932,2018-08-01,2018,3,8,ML Mountain Rear Wheel,Components,Wheels,Black,104.80,Canada,Canada,Two-Wheeled Transit Company,Specialty Bike Shop,Jae Pak,1,141.62,141.62,104.80,36.82
SO46932,2018-08-01,2018,3,8,LL Mountain Rear Wheel,Components,Wheels,Black,38.96,Canada,Canada,Two-Wheeled Transit Company,Specialty Bike Shop,Jae Pak,1,52.65,52.65,38.96,13.69
SO46932,2018-08-01,2018,3,8,"Mountain-200 Black, 38",Bikes,Mountain Bikes,Black,1105.81,Canada,Canada,Two-Wheeled Transit Company,Specialty Bike Shop,Jae Pak,1,1229.46,1229.46,1105.81,123.65
